time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705686000,37847,37861,37823,37860,,8317.624880911846,13082.08007842936,8317.624880911846,12260.711657376729,,,,
1705686600,37858,37902,37858,37899,,10289.168269144287,15005.20507842936,10289.168269144287,14043.64257842936,,,,
1705687200,37900,37910,37868,37900,,12166.405423786824,16065.20507842936,12166.405423786824,15535.20507842936,,,,
1705687800,37900,37964,37896,37936,,13850.805251108093,19054.440372547007,13850.805251108093,17559.822725488186,,,,
1705688400,37937,37976,37937,37975,,15705.31398829814,21317.055757162394,15705.31398829814,20185.7480648547,,,,
1705689000,37976,38005,37973,37997,,17945.53102657642,23111.602632162394,17945.53102657642,22214.329194662394,,,,
1705689600,37998,38017,37987,38001,,20079.930110619407,24082.352632162394,20079.930110619407,23596.977632162394,,,,
1705690200,37999,38027,37986,38022,,21838.4538713909,25412.303851674587,21838.4538713909,24747.32824191849,,,,
1705690800,38023,38041,38009,38039,,23292.891056654695,27501.053851674587,23292.891056654695,26456.678851674587,,,,
1705691400,38038,38088,38038,38060,,24874.784954164643,29714.333851674586,24874.784954164643,28607.693851674587,,,,
1705692000,38061,38133,38048,38077,,26741.239402919615,32260.127969321646,26741.239402919615,30987.230910498118,,,,
1705692600,38078,38090,38035,38084,,28864.235156708866,34096.78251477619,28864.235156708866,33178.45524204892,,,,
1705693200,38085,38103,38045,38077,,31021.34519937889,34096.78251477619,31021.34519937889,33279.74803201757,,,,
1705693800,38077,38080,38047,38074,,32150.54661569823,32462.713549258948,31663.077185622584,32062.895367440768,,,,
1705694400,38075,38092,38053,38054,,32106.7209915695,32106.7209915695,29649.23103177643,30656.15410869951,,,,
1705695000,38056,38085,38044,38072,,31381.437550134506,31381.437550134506,29649.23103177643,30257.115178117892,,,,
1705695600,38074,38079,38040,38060,,30819.2763641262,30864.999324459357,29768.986503946537,30316.992914202947,,,,
1705696200,38062,38066,38042,38049,,30568.13463916457,30568.13463916457,28699.840670613205,29234.413587279872,,,,
1705696800,38050,38051,38021,38038,,29901.27411322222,29901.27411322222,27094.040670613205,27896.940670613207,,,,
1705697400,38037,38062,38027,38050,,28899.107391917714,30886.72638489892,27094.040670613205,28990.383527756065,,,,
1705698000,38049,38075,38034,38067,,28944.74545983689,32520.738580020872,28944.74545983689,31703.732482459898,,,,
1705698600,38066,38070,38057,38064,,30324.238971148392,32520.738580020872,30324.238971148392,32364.680887713184,,,,
1705933800,38160,38232,38114,38228,,31344.459929430788,42340.106246252944,31344.459929430788,37274.36472082922,,,,
1705934400,38230,38272,38215,38242,,34309.412325130004,46373.57993046347,34309.412325130004,44356.843088358204,,,,
1705935000,38242,38281,38228,38259,,39333.127706744104,49429.80634555781,39333.127706744104,47901.69313801064,,,,
1705935600,38259,38280,38238,38267,,43617.410422377376,52979.21110746257,43617.410422377376,51204.50872651019,,,,
1705936200,38268,38290,38257,38276,,47410.95957444378,54873.28686503833,47410.95957444378,53926.24898625045,,,,
1705936800,38277,38302,38271,38284,,50668.60428034712,56835.190090844786,50668.60428034712,55854.23847794156,,,,
1705937400,38285,38289,38227,38257,,53261.42137914434,56835.190090844786,53261.42137914434,55209.020736006074,,,,
1705938000,38258,38274,38230,38234,,54235.22105757521,54235.22105757521,51124.033199349185,52353.442290258274,,,,
1705938600,38233,38262,38210,38227,,53294.33167391674,53294.33167391674,49466.01396857995,50295.02358396456,,,,
1705939200,38230,38232,38173,38203,,51794.677628940655,51794.677628940655,47098.09871434266,48282.056341461306,,,,
1705939800,38203,38223,38191,38217,,50038.36698520098,50038.36698520098,47098.09871434266,47889.08308934266,,,,
1705940400,38216,38221,38190,38209,,48963.72503727182,48963.72503727182,47818.93843208459,48249.50294821363,,,,
1705941000,38209,38210,38186,38193,,48606.61399274273,48606.61399274273,46508.10509875126,47163.52176541793,,,,
1705941600,38193,38193,38157,38181,,47885.06787908033,47885.06787908033,45158.10509875126,45833.10509875126,,,,
1705942200,38181,38208,38171,38192,,46859.0864889158,46859.0864889158,45158.10509875126,45648.15915280531,,,,
1705942800,38193,38202,38153,38167,,46253.62282086055,46253.62282086055,44908.36626808385,45523.28973747161,,,,
1705943400,38169,38186,38152,38180,,45888.45627916609,45888.45627916609,44908.36626808385,45336.85891514268,,,,
1705944000,38182,38190,38177,38182,,45612.65759715438,46283.851562201504,45612.65759715438,46024.601562201504,,,,
